Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
GUJFAS,2.13717,0.8902,2.13717,244.355,2.6639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIKPUM,2.4069,1.02517,2.39848,1213.65,1.97101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUHNON,1.82153,0.87303,1.67584,1356.95,2.98988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GISMEC,1.52343,0.9755,1.52343,912.99,2.28459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVRUG,2.72532,1.07928,2.72532,1415.0,1.95835,0.0,0.0,6.00283,3.06525,0.0,0.0,0.0,0.0,0.0,0.0
FUHPAB,1.92335,0.95329,1.9193,487.556,2.86693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEVGIZ,2.40228,1.49236,2.36806,764.458,2.12003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJFEW,2.12048,1.09588,2.12048,538.491,2.50415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HACWOY,2.40873,1.05159,2.39205,1955.64,1.81172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWOLOV,1.30856,0.78582,1.30856,206.671,2.89151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOQFAU01,1.38521,0.82658,1.37901,296.819,2.61779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFUXIQ,2.62457,1.39997,2.35372,1405.45,1.54068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IYEPOR,2.93979,1.51482,2.74465,1999.03,1.7226,0.0,0.0,27.6317,16.0407,0.0,0.0,0.0,30.5451,0.01528,0.00887032
HUJZIW,2.21234,1.29981,2.21029,1045.67,2.07782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IJOMAW,1.62872,0.74177,1.61866,1755.27,3.88026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOQFAU,1.32885,0.8669,1.28154,613.102,2.53468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHUPAE,2.60042,1.45209,2.60042,2557.15,1.48182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNZIZ,2.10312,1.20773,2.05877,1640.77,1.68472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAWPEF,1.59269,1.05705,1.58525,1828.54,2.49233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LERDOD,3.20611,1.13749,2.95622,2925.61,1.8807,0.0,0.0,60.9805,32.4244,0.0,0.0,0.0,90.7525,0.03102,0.0164939
KIQHOH,2.16767,1.94531,2.1589,675.582,2.39893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KETPIJ,6.48447,1.6284,5.81779,4465.29,1.62136,0.0,0.0,1136.0,700.642,0.0,0.0,0.0,1102.39,0.24688,0.152267
KOBMIY,2.69755,1.45925,2.67359,8675.5,1.74609,0.0,0.0,0.132108,0.0756593,0.0,0.0,0.0,0.0,0.0,0.0
JAZJIE,5.24611,4.36953,5.24611,6988.86,1.69012,609.257,360.481,0.0,0.0,957.893,0.13706,0.0810947,0.0,0.0,0.0
KEQVOT,2.40696,1.29368,2.03637,1086.05,2.07362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOCXEF,2.57267,1.25978,2.57224,1795.61,1.65438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIQHOH01,2.06209,1.40374,2.04384,706.777,2.29305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENRAB,1.55638,0.80564,1.53332,1215.04,3.31725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORXAW,3.02407,1.15672,2.65349,2574.85,1.52564,0.0,0.0,13.1549,8.62256,0.0,0.0,0.0,25.4395,0.00988,0.00647599
MARXAF,2.76537,1.27027,2.76181,2078.98,1.75807,0.0,0.0,4.0373,2.29644,0.0,0.0,0.0,9.31385,0.00448,0.00254825
NEDHAI,2.71676,1.83743,2.68764,1711.19,1.88656,0.0,0.0,2.02892,1.07546,0.0,0.0,0.0,0.0,0.0,0.0
NIQHUT,1.91402,1.12191,1.91402,1115.65,1.33198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDLAK,2.54032,2.06517,2.54032,3858.38,2.74033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEBLUA,3.53519,2.39278,3.19403,1322.5,1.74814,0.0,0.0,406.921,232.774,0.0,0.0,0.0,209.141,0.15814,0.0904621
OBECUT,2.43843,1.01198,2.41987,849.324,1.91281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUHOU,1.71018,0.98901,1.69368,1714.67,1.84504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEXSEQ,7.72008,6.89837,7.68646,4450.68,0.963593,2024.02,2100.49,0.0,0.0,2433.27,0.54672,0.567377,0.0,0.0,0.0
OMUHIO,5.24675,4.70795,5.24675,1739.27,2.35309,1620.03,688.47,0.0,0.0,554.341,0.31872,0.135448,0.0,0.0,0.0
PAWXUJ,1.33631,0.93685,1.32408,608.387,2.55432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUHEK,1.74745,0.99273,1.73555,1725.16,1.83382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAMBUB,2.05201,1.20887,2.03503,956.359,1.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINRIR,1.94231,0.78173,1.7231,892.139,2.38569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIGDOC,2.9289,2.05461,2.9279,3026.98,2.68063,0.0,0.0,39.106,14.5884,0.0,0.0,0.0,67.6228,0.02234,0.00833388
POXNEW,1.66118,0.0,1.66118,4358.61,9.8444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO,3.69263,3.45097,3.69262,5237.39,2.33323,322.98,138.426,0.0,0.0,424.019,0.08096,0.0346987,0.0,0.0,0.0
TINNEK,3.47975,1.21835,3.26985,4202.62,1.80553,0.0,0.0,92.1391,51.0316,0.0,0.0,0.0,142.385,0.03388,0.0187646
TEJYAI01,1.75256,1.00233,1.75006,2470.29,2.1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETHIJ,4.01345,2.85023,4.00564,1557.52,2.50817,686.634,273.758,0.0,0.0,272.97,0.17526,0.0698755,0.0,0.0,0.0
TEHXUC,2.12484,1.10132,2.12484,2777.4,1.76363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELPIL,1.86295,0.95377,1.84263,1908.31,2.33225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEHSAA,3.14641,1.6907,3.09662,6784.07,5.05337,0.0,0.0,34.0472,6.73752,0.0,0.0,0.0,82.0872,0.0121,0.00239444
TAJXIO02,3.66669,3.45698,3.66669,5267.81,2.31975,323.589,139.493,0.0,0.0,424.902,0.08066,0.0347709,0.0,0.0,0.0
TAJXIO03,3.62936,3.42106,3.62936,5230.85,2.33614,314.793,134.749,0.0,0.0,416.899,0.0797,0.034116,0.0,0.0,0.0
SODBOC,9.03753,8.88917,9.02814,1343.11,1.23615,1278.07,1033.91,0.0,0.0,701.021,0.52194,0.422229,0.0,0.0,0.0
SEQCEW,1.60315,1.04334,1.59473,919.834,2.00761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOZGOE,2.01508,1.23409,2.01508,589.412,2.12463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIWTEZ,1.83569,1.08625,1.83569,884.521,2.92793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOZGOE01,1.66201,1.02142,1.59169,563.005,2.22428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
