Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
EJUXAL,2.67171,1.32321,2.67171,1550.95,1.78648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EYUCAD,1.71691,0.9561,1.50298,1045.35,3.48303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWEBUE,2.3727,1.30699,1.99962,1941.34,3.05341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQWIF,1.45936,0.86145,1.26172,584.04,2.90008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOHKOD,2.10843,1.13079,2.08447,1541.32,1.96146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBENUW,2.66828,1.23835,1.91624,4013.09,1.82467,0.0,0.0,1.2731,0.697716,0.0,0.0,0.0,0.0,0.0,0.0
FAXLIC,2.24651,0.91221,2.24651,1677.72,2.57717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKOYAF,2.7763,1.50172,2.7763,748.357,2.26339,0.0,0.0,9.91487,4.38053,0.0,0.0,0.0,20.7594,0.02774,0.0122559
DURKOR,2.07171,0.79804,2.06814,743.504,2.56436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMOVIM,3.29819,1.85354,3.28585,1113.2,1.86194,0.0,0.0,273.786,147.043,0.0,0.0,0.0,113.056,0.10156,0.0545453
EMAZAT,1.93012,0.73031,1.82077,1540.79,2.48299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAKEM,1.86216,1.2943,1.86216,1222.46,1.83712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EYICOG,2.00847,1.04912,1.88297,2841.89,2.72087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKIHUE,2.76608,1.90802,2.76181,10171.2,2.31947,0.0,0.0,2.32437,1.00211,0.0,0.0,0.0,0.0,0.0,0.0
EMOVEI,2.45272,1.17567,2.23789,2796.72,2.34159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFINAK,1.43782,0.59916,1.26165,493.223,3.6374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOZNUC,1.82584,0.96817,1.75659,716.966,2.53822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EREZAD,2.06654,1.49212,2.03423,1548.01,2.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIGBEG,2.23014,1.29485,1.82694,3168.93,2.27207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALCON,1.99835,1.08595,1.534,3415.72,1.89149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXVUF,12.38807,11.74011,12.38798,3971.33,1.02313,1281.57,1252.6,0.0,0.0,2138.8,0.53856,0.526385,0.0,0.0,0.0
GUDCOY,2.49691,1.24386,2.48874,6498.89,2.00552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJFIA,1.66078,1.22119,1.66078,293.963,2.37282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIYNOR,2.04132,1.26811,2.03809,1946.83,2.79683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIMLAP,2.06482,1.19802,2.04203,1899.4,2.57309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FISHUL,4.68535,4.08389,4.68535,731.167,1.51298,1626.79,1075.22,0.0,0.0,248.45,0.3398,0.22459,0.0,0.0,0.0
FUDWIN,1.98687,1.22749,1.98599,725.114,2.39985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJFOG,2.02214,1.15563,1.99748,651.463,2.21291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAKSOB,1.39836,0.73047,1.38495,283.932,2.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADYAN,2.02484,1.06905,1.91428,1836.08,2.27981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIJJEP,2.36144,1.06411,2.361,901.214,2.18957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOGKUJ,3.25361,1.24481,3.25337,854.386,2.04462,0.0,0.0,162.299,79.3785,0.0,0.0,0.0,67.2231,0.07868,0.0384815
FOHZOU,1.92156,0.88133,1.92156,359.272,2.28326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIFVAU,3.87597,1.96699,2.60001,2080.6,1.66391,0.0,0.0,552.074,331.792,0.0,0.0,0.0,340.844,0.16382,0.0984546
GEZVIS,2.00602,0.92688,2.00449,1428.31,2.12105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEYPEF,2.44128,1.23243,2.44128,689.684,1.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUBXOR,1.92216,1.16939,1.79846,1564.75,1.80935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDDEP,2.0251,1.12675,1.97844,4512.23,1.65283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GODLUH,2.26944,1.25604,2.26479,1761.45,1.83385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEZWIT,1.80513,0.84398,1.80513,1320.46,2.22868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAGGON,2.92588,1.36939,2.29446,2225.68,1.5438,0.0,0.0,11.1813,7.24273,0.0,0.0,0.0,19.7195,0.00886,0.00573907
FETHES,2.33759,1.18545,2.29166,1064.84,2.19609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMXUO,4.42394,1.94158,4.42394,2952.13,1.22054,0.0,0.0,647.4,530.422,0.0,0.0,0.0,489.286,0.16574,0.135793
GIQDAM,3.07057,0.95578,3.07057,3932.73,3.28001,0.0,0.0,62.1316,18.9425,0.0,0.0,0.0,83.1379,0.02114,0.00644511
FUHPEF,2.73029,1.43643,2.71903,1472.39,2.30069,0.0,0.0,2.22566,0.96739,0.0,0.0,0.0,0.0,0.0,0.0
FETHIW01,1.35553,0.61312,1.20295,998.523,5.94549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
